Summary,Sentiment
nice book minimum price maximum question question bank,positive
osm,positive
best quality,positive
good product,positive
nice product,positive
lovely,positive
good,positive
good product,positive
good quality,positive
good nice washing machine,positive
tooo good love,positive
nice dinner plate small,positive
good tab study purpose,positive
super fantastic beautiful,positive
good expected,positive
love,positive
good speed,positive
good,positive
great product works good value money,positive
good,positive
nice,positive
nice useful product,positive
nice,positive
nice,positive
good clothing likes much,positive
nice,positive
good quality,positive
product good quality,positive
super quality,positive
superb,positive
excellent delivery rural kerala kannur distand good product easy learn beginners online demo scheduled initial setup done online pace technicians time customers time due covid pandemic supposed give multiple demos never happened singer company could responded better happy customer service,positive
amazing work best juicers blind go,positive
nice,positive
thank u delivery executive delivered order address fast time kudos,positive
nice one,positive
amezing,positive
overall good experience,positive
best boat,positive
good,positive
amazing must buy product,positive
awesome,positive
good,positive
nice product,positive
nice product design awesomethe watch always want gives new looksure try watch thank flipkart,positive
quality good full paisa basul mind blowing thanks flipkart,positive
everything working fine memultimedia experience absolutely great best part speakers killeridk whether otg cable supported,positive
good electronic product thank u flipkart,positive
perfect toys,positive
good quality products,positive
good,positive
good quality,positive
awesome,positive
nice product,positive
nice,positive
good,positive
mixer fast mixing best budget,positive
thanks flipkart providing product good price,positive
fantastic product,positive
gd product,positive
useful product,positive
nice product,positive
good quality,positive
one best products mi reasonably priced auto mode best feature controls fan speed purifier performance becomes silent pm level maintained also led indicator nice touch determine pm level room works best closed room easily operable mi home app great product iot needs wifi connection operate mobile sitting remotelyvalue money product,positive
nice product perfect fitting,positive
super,positive
nice product,positive
good,positive
great product wounderful packaging,positive
working hours,positive
good,positive
nice,positive
super,positive
nice product,positive
good,positive
colourful amazing product flipkart,positive
nice,positive
nice product,positive
fine looks like mixer,positive
delivery installation time fully satisfied,positive
really like,positive
good worthy product,positive
useful router internet wifi home bedroom otherwise useful connect nest mini via bluetooth listen music,positive
really awesome sound,positive
fab fab fab great product single knitting soft warmth go,positive
osm hott nd cold bottle,positive
nice product,positive
good product,positive
purchase seagate got price rs ligt blue color performance hard disk good main feature get time data recovery software valid yearsvery compact portable compare sizedont go wd seagate offers better value best quality product,positive
good watch,positive
good,positive
good product value money,positive
good product,positive
nice,positive
good product lets see much long works,positive
best,positive
nice,positive
wow best one perfume,positive
nice,positive
nice shoes,positive
good comfortable l size well fitting,positive
nice one,positive
comfortable,positive
gifted friend happy receive must buy,positive
excellent performance good product purchasedi enjoying musicreasonable price,positive
good,positive
work properlydo record continuouslydo record offlinedo detect person every timecustomers care dont pickup callsneed constant engagement make workvery disappointedwaste money,positive
original excellent long lasting clear happy product,positive
nice product,positive
good product,positive
good,positive
value money,positive
wonderful tv unit amazing thank flipkart furnifry furnitureplease provide installation wellbecause dont drilling machine outside carpenter charge product dont know flipkart changed policy installation furniture,positive
good look sexy fit,positive
excellent,positive
soung quality awesome happy pure basssssss,positive
good product deliver,positive
awesome,positive
nice choice,positive
good product,positive
nice product,positive
awesome product price also less thank flipkart,positive
amazing device one best speakers great voice recognition engine,positive
good performance,positive
good,positive
nice,positive
awesome,positive
ossum productreally happy buy,positive
super done,positive
product good,positive
nice,positive
good product,positive
nyc product,positive
best,positive
amazing packaging also good delivering,positive
nice product,positive
good,positive
products good average,positive
nice,positive
good,positive
good product,positive
nice product,positive
superb productits fragrance awesome product genuinely originaland also valuable money,positive
good one,positive
nice,positive
nice,positive
awesome look,positive
satisfactory deal price,positive
good,positive
good,positive
super,positive
best rtx laptop price,positive
extremely nice product,positive
excellent,positive
thanks,positive
nice product,positive
good sleek single speed bicycle city lightweight casual cycling around good roadnot advised heavy usage youre looking fitness activities rough roads etc cycle highly recommended office commutes light usage regular morning exercise casual rides nearby shopscommercials consthe air pump given along box small size feel uncomfortable fill air using cycle sleek brakes,positive
nice quality like product good voice system,positive
nyc one go,positive
nice,positive
wonderful best product,positive
fantastic,positive
best price,positive
nice,positive
nice product,positive
good,positive
nice,positive
comfortable,positive
excellent product,positive
good,positive
good product thank,positive
nice purchase till working good,positive
good,positive
osm good product,positive
good quality size little bit different though one comfortable little tight,positive
nice,positive
bad,positive
best quality cloth better color,positive
good,positive
good,positive
really nice,positive
faithful,positive
music device internet nothing nothing less,positive
good,positive
nice true smart tv good working picture quality amazing keep guys delivery good,positive
im happy,positive
good design delivery process overall satisfied product,positive
hellow good evening would like stete bad installation done happy technician well trained soft spoken technician employee code technician name ponada chandanam,positive
nice product,positive
worthy,positive
productsounds quality goodbass quality lowbuild quality goodvalue money yes,positive
favorite brand home full la verne,positive
good productbut dont know warranty period,positive
good,positive
good product,positive
super,positive
performance good covering area also large covers almost floorsand speed also goodone best router price,positive
nice product,positive
good product,positive
great product reasonable price,positive
best product,positive
prodect nice prefer u bye prodect daughter artist happy see,positive
nice,positive
nice,positive
superb picture sound frame qualityamazing product,positive
great productlove,positive
really liked product space cant put sbig huge soundboard fits perfectly really great product,positive
worth money much happy,positive
good product,positive
nice,positive
material quality good thank flipkart,positive
good,positive
good,positive
best product,positive
nice,positive
super,positive
nice product im happy,positive
good,positive
good product,positive
nyc,positive
good product philips good sound bass well,positive
awesome product yes look like little bit costly worths separates seeds without grinding gud looks lesser noisy best courier services,positive
awesome,positive
nice productonly one defect notice u mix wet items little bit leakege jars jars quality markapart good product,positive
nice samsung smart oven,positive
good,positive
perfect product,positive
excellent product amazing price comfortable perfection fully satisfiedgo,positive
excellent,positive
good quality,positive
really good pillows exactly expected im happy worth please buy packaging extremely well flipkart delivery always awesome,positive
nice,positive
good,positive
nice product quality good smell received pack two oils,positive
nice,positive
best productsuper deliveryfully satisfiedthanks flipkart,positive
excellent speaker room medium size pair nothing like worth money,positive
nice,positive
nice product,positive
valvue money,positive
good,positive
kit really good beginners accessories neededthis product quick soldering work home really good value money,positive
best product,positive
awesome products,positive
happy,positive
awesome shown picture,positive
nice product,positive
best refrigerator price thanks flipkart faster deliveryi happy product,positive
nice product,positive
good product,positive
perfect picture working nice,positive
good,positive
excellent,positive
nice product,positive
nice products good,positive
nice,positive
good product,positive
good product valuable,positive
value money,positive
good product flipkart fast deliveryo,positive
product good quality,positive
good,positive
love geyser good heating,positive
awesome thanks flip,positive
good productvalue money,positive
best quality,positive
grt fittinggrt value moneymust must havevery recommend,positive
gift sister really like thanks flipcart,positive
good product,positive
worth money perfect installation agent,positive
chimney good duckpipe low quality ive purchase another pipe,positive
good product,positive
working good cant say whether air purified calimed co simple trust,positive
good product,positive
nice speaker,positive
good cartridge,positive
nice,positive
good,positive
awesome,positive
quality per expectations better quality cooler bought price range,positive
good product,positive
good quality quite thick according price ordered one blanket colour,positive
excellent dinner set contains full quarter plates bowls packing nice compact worth buying,positive
nice good product,positive
best,positive
nice,positive
good,positive
value moneyi loved,positive
great,positive
good product,positive
awesome,positive
nice flipkart product,positive
good,positive
good,positive
superb product,positive
sound bass quality good,positive
good deal seeds germinating well,positive
super best buy worth money,positive
useful soundbarvalue moneybuilt quality also goodgood bass clear voicebattery backup also goodgood bluetooth connectivitynice design,positive
good,positive
nice products happy,positive
superrrr cute,positive
nice product,positive
good product,positive
good bed,positive
nice speed slow,positive
good,positive
product quality good size smallest light weight smart design work fast smooth speed average,positive
super good service good quality,positive
nice product,positive
shown picture,positive
nice,positive
terrific product,positive
good,positive
lovely product,positive
good quality good health,positive
awesome,positive
osm like premium quality,positive
good,positive
ok good,positive
nice product,positive
good quality,positive
worth,positive
nice product lay zhyak hy raw,positive
fridge great working well thanks flipkart,positive
good product,positive
worth purchase,positive
good one,positive
wow awesome products thank flipkart im happy,positive
good quality brand new w charger good performance,positive
nice good quality,positive
nice,positive
full energy thanks flipcart,positive
super,positive
nice laptops price best deal,positive
good product,positive
awesome superbbut wan port disrupted within days,positive
good,positive
good experience,positive
nice product good price,positive
nice cooler crompton ozone,positive
awesome set must buy,positive
perfume good,positive
nice,positive
super phone,positive
hmm good,positive
super cocoa powder,positive
excellent outstanding product solid build quality almost total metal body excellent build quality comes luminous inverter already installed checked load performance also good little bit heating previous microtek inverter good product definitely go,positive
nice product,positive
super good quality im happy product,positive
good range speed nice product worth,positive
awesome,positive
nice,positive
love,positive
nice,positive
overall product good problem move cooler doesnt wheels also water inlet provided bottomnice product,positive
nice,positive
comfortable excellent product,positive
nice product,positive
good,positive
found suspected,positive
got pixel offer working fine loud sound quality awesome decent bass,positive
bought mainly clean cat hair works perfectly fine purpose also useful cleaning many areas like sofa curtains carpets,positive
super,positive
modern design well low weight size overall quality good value money,positive
best bluetooth speakersound quality excellentbass goodbattery backup bestconnectivity fast,positive
value money product,positive
fabulous,positive
nice,positive
good,positive
best budget gaming laptop impressed overall performance laptop using two weeks performs really well ryzen processor runs cooler intel variant upgrade additional ram slot make sure opt open box delivery check authenticity productprosdisplay brilliantbattery pretty goodno lag issues faced games soft touch keyboardlooks fantasticconsaudio intensity b,positive
wow looks like luxury product,positive
like kit,positive
good,positive
nice cooler cools room even temperature surely go,positive
good,positive
quality perfect performance great reliable,positive
mobile good cool give children rate also good good battery backup also good,positive
awesome,positive
packaging good data transfer speed device fast thank flipkart nice product,positive
good,positive
good product,positive
nice,positive
wrth costt,positive
good,positive
wrking good issue,positive
good product,positive
best best best product,positive
good one,positive
gud beltmost impit easily adjust according waistbecause doesnt needs hole,positive
super fight,positive
nice,positive
vry nice,positive
good product bounce high love product price good everyone buy product,positive
according price oksmall carpet thin material looking wise good,positive
best quality,positive
nice product,positive
nice stuff good product bad,positive
good black colour smooth application smudge proof,positive
fabulous product satisfied,positive
verry nice,positive
size fits,positive
good efficient,positive
nice,positive
good product,positive
sound quality good performance smooth lag free display average looking good build quality upto mark finally value money,positive
product good,positive
invalid elderly brother says comfortable,positive
ok ok nice product,positive
charger charge samsung minutes,positive
good mobile,positive
happy product,positive
good delivery flipkart nice handy product good quality efficient,positive
good,positive
good product,positive
nice,positive
value money,positive
good product,positive
nice cycle,positive
good,positive
nice product,positive
good prodect,positive
nice,positive
small table really pretty adds aesthetic look room quite small delicate looks good,positive
supar,positive
best handy camera beginners nice packaging recieved delivery actual date given flipkart,positive
comfortable chairvery much satisfied productalsothe cellbell executive helpful provided support assembling chair,positive
best book medico,positive
happy wid,positive
good seeds germinated,positive
nice ya years,positive
good quality loved recommend everyone buy product,positive
good product,positive
good,positive
quality nd time,positive
good,positive
nice product good quality,positive
intelligent dumb alexa go,positive
good,positive
good one,positive
beautiful quality product,positive
good sturdy,positive
comfortable,positive
good,positive
replacement working okay,positive
good quality good product,positive
nice,positive
super,positive
valuable price want get perfect grinding means choose high price product,positive
favorite perfume,positive
good expected,positive
good sound effective buy remote awesome atleast dont need move around change settings,positive
perfect,positive
quality product good base well sound good,positive
nice product,positive
awsome,positive
good,positive
good,positive
mind blowing,positive
good camera bigener,positive
good product loved thank u flipkart,positive
bast gym sport,positive
product nice,positive
good,positive
good,positive
nice product price,positive
item good quality delivery boy good n professional,positive
nice,positive
wonderful product,positive
beat cooler highly recommend,positive
although masterpiece buy future apparels suits personality,positive
seeds good quality seeds germinated go without hesitation,positive
good product,positive
nice protect,positive
good products milton battel,positive
good one,positive
good product,positive
good,positive
every performance gud enough however found trouble delivery recieve gokarna couldnt went ankola brought home paying extra charges rent worst dehliveryeven though experienced badly dehlivery service item received fantastic nd liked itsamsung,positive
good product,positive
nice,positive
nice product nice sound qulity,positive
happy good refrigerator,positive
good,positive
good product,positive
great job,positive
nice,positive
good nd biggest android brand oneplus,positive
good,positive
best product,positive
nice product,positive
air throw goodlow noise best cooling medium speedmotor fan partially covered plastic protect water fall itoriginal crompton motor durablewater level seen clearly outside body cooleryou fill water easily front side cooler big box available open close filling litre tank enough hours cooling honey comb pads good quality plastic body,positive
best products,positive
wow,positive
worth,positive
nice product,positive
nice soft,positive
product bad,positive
nice beautiful pictures thanks flipkart delivery boy,positive
nice product child like,positive
excellent,positive
osm product,positive
good comfortable clog,positive
really nice fragrance,positive
quality awesome full plate like half plate small half plate like tea plate thats im little desipointed,positive
super quality,positive
nice,positive
amazing,positive
good,positive
nice product,positive
okgood,positive
good product best normal usage small home flipkarts delivery superb got next day morninggo,positive
design colour excellent,positive
good product,positive
nice,positive
expecting quality product go want normal stand books,positive
strong perfumes excellent delivery late,positive
nice,positive
super tvnice pictureloud sound connect wifi immediatelymiracast download playstoreamazing purchase,positive
awesome protect,positive
worth,positive
overall great,positive
good,positive
nice expected packing awesome,positive
good,positive
nice product,positive
good,positive
nice,positive
awsum product good quality,positive
featureif gate shut properly give soundthis feature working good refrigerator delivery time,positive
fast delivery delhivery courier quick installation good quality product good price range sediment pre filter cover given product charging extra moneytaste water good models think solved setting tds controller technician,positive
nice podcast,positive
loved,positive
super,positive
multiple features available reasonable pricingthe mirroringcast option work builtin chrome cast updatedusing google home smartphone great way cast mirror screen onto tv,positive
nice product,positive
nice,positive
awesome simple,positive
great product,positive
good,positive
nice,positive
good,positive
nice,positive
great perfume love smell amazing love like search kind perfume smelling search doesnt smells hard gets headache rather beautiful aroma also gives great quality quantity product highly recommend purchase without second thought,positive
received genuine samsung adaptor really fast charger,positive
good product,positive
like much good quality soft material,positive
good football,positive
nice,positive
wonderful,positive
good soo nice,positive
best qeualty,positive
good,positive
nice product,positive
matiriyal less better according price,positive
good product,positive
skateboard goodthis skateboard big heavy ninety kg stand skateboard skateboard band centimetre,positive
nice colour productgood quality im happythank flipkart,positive
delivery one day good like much super,positive
nice,positive
nice fully satisfied,positive
superb delivery one day also works perfectly hotspot took little time setup hotspot working fine need phone one hotspot act wifi router modem another phone install google home setup control,positive
fantastic,positive
good product,positive
excellent,positive
good,positive
good,positive
value money product,positive
awesome air cooleri looking cooler range fulfilled requirement following great air capacity comes large tank run overnight great built shockproof reliable stop beast night massive cooling capabilityone small concern mine sure dealbreaker produces,positive
good product,positive
good product cheaper price,positive
happy,positive
comfortable good quality,positive
best football worth every penny l love,positive
good,positive
satisfied product commitment size small mentioned picture measured found length width breadth less inches looks like toy,positive
good product,positive
nice fast expected kid loved optionally gaming like pubg etc movies watching experience fantastic battery backup days need tablet must buy,positive
best thing cheap price best foldable,positive
worth every penny little one loved full points,positive
nice,positive
good,positive
value moneylike product,positive
nice product,positive
nice,positive
nice looking good work,positive
nice product thanks filpkart,positive
best choice,positive
nice,positive
think best,positive
super product good exp,positive
satisfied,positive
wow really working excellent tq,positive
awesome tv price point view ofcourse quality tested next years big branded tv work minimum years without issue mi tv work years good took risk buy today technology change fast want costly tv run years need cheaper tv run atleast yrs,positive
good,positive
good product value money good delivery,positive
nice product,positive
best quality,positive
good,positive
product good fitting also good thanks flipkart,positive
good water pressure,positive
nice,positive
best lap given price,positive
month almost far good much hassles delivery well installation think electrician plumber handy may required anytime installation installation guy made run plumber electrician actually tell coming also keys terrace knowhow control water coming installation guy may ask stop flow incoming wateralso pay rs extr,positive
highly recomended budget less tha using since years issues sound ear cushions started wear may rough use love listen music like play games like pubg csgo valorant etc buy keep mind wired connection headphone gives better output bluetooththis product good music production,positive
good,positive
nice product,positive
good product,positive
little short baby everything perfect outer tikkis everything falling cheap stich,positive
nice,positive
good product offer price point,positive
good one,positive
good,positive
good product,positive
thumbs good,positive
nice bag,positive
good,positive
good flipkart,positive
good powerful machine economic rate,positive
good,positive
product good futuristic many features like wireless voice response bluthooth improved coming versions,positive
good,positive
best product use long time cooking,positive
best price,positive
good product,positive
good useful beginners alter shirts simple curtain tailors shop easy highly recommended price,positive
great quality fittings expected,positive
nice pic,positive
good,positive
good,positive
sound quality nice,positive
decorative spot light good quality rorating hence solves another purpose highlighing object shooting satisfied product,positive
nice,positive
nice,positive
durable,positive
thanku flipkart google,positive
nice,positive
good,positive
value money,positive
nice product good default wind noise wont bother u listen music also controls best easy control,positive
good,positive
good cooler,positive
good book,positive
good,positive
must buy products,positive
good,positive
product nice,positive
nice,positive
nice product,positive
perfect,positive
good,positive
nice,positive
nice product loved thank u flipkart,positive
good,positive
fan look like expensive house thankyou flipkart,positive
nice product,positive
super saving pack,positive
superb quality,positive
macbook macbook justifies name pretty well high quality performance,positive
good product,positive
bought niece happy good product children also birthday gifts basically worth price,positive
lite weight nice color,positive
worth price delicately packed item delivered utmost care quality bowls plates really happy packing style service best flipkart,positive
good seeds,positive
great,positive
really good producut best price must go,positive
good product,positive
nice product flipkart flipkart,positive
good laptop performance,positive
vaccum packed soft good stitching corners worth,positive
good experience,positive
good,positive
good budget dslr,positive
good charging good product good qualitybest product,positive
awesomegood qualitygood lookingif u want keeping light materials one best choice,positive
nice,positive
good,positive
sound quality awesome,positive
facing issues even days usage ideal family members good n instant heating min,positive
recommended go others else,positive
nice,positive
good,positive
wife happy,positive
superior quality perfect prints sizejust go,positive
nice sewing mashineeasy handle,positive
super,positive
good,positive
good product value money using last years first year free services provided time authorized livpure engineerbought second neighbor bbd loved,positive
looking baby monitor new born baby came across cameraim able keep eye kid hes sleeping nightand cry detection feature also works like charm notifies us baby starts crying really useful us working couplei say device performing well per needs till nowthe support team also quite helpful resolving doubts subscription plans,positive
nice,positive
good product prize range satisfied cooking little bit slower put glasses rice takes almost hour,positive
good,positive
good,positive
nice,positive
value money ordered big billion days delivered within hours installed hours professional expert bajaj etectricals ive buy extra items local stores costing approx inlet oulet pipes extra plug socket supplied company mechanic sincere installtional till issues thanks flipkart well seller update later find technical issues,positive
like awesome,positive
best thing best toy,positive
nice,positive
light proper work,positive
amazing product price satisfied,positive
nice products services,positive
clear quality price work money e clear movies good working condition,positive
good product,positive
good product,positive
good product high cost,positive
good quality,positive
good product,positive
must polluted city like delhi filters fowl smell room well,positive
good quality product purchased,positive
nice lock,positive
super nice product,positive
superbmy children loved itquality excellent,positive
awesome experience,positive
sound issue need understand music increase volume dialogues cant heard everytime music comes volume needs reduced increased sure setting changes,positive
nice product,positive
good bass sound value money,positive
good,positive
supurb,positive
good,positive
awesome product happy ultimate headphone travels rides loves musiconce charge less time battery stands daysthis product worth value money build quality also good,positive
nice,positive
awsome,positive
good value money,positive
nice kit,positive
good one,positive
delivery process bestquality bestthanks flipkart,positive
good,positive
gud,positive
excellent,positive
installation good person explained well polite really appreciate service thank himexcellent job,positive
first camera good,positive
good fast charger work wery well,positive
really cute adorable showpiece bought little princess much happy getting good quality great colour finishing gorgeous boost glaze cornerhappy buying,positive
useful beginners,positive
like,positive
satisfied,positive
washing quality good,positive
nice product,positive
good small size,positive
worth,positive
great,positive
nice,positive
good quality,positive
good,positive
super,positive
loved product works multifold use fabric decleanser wound healer antibacterial properties,positive
good sound quality,positive
good quality charger becomes hot ok,positive
nice,positive
good product,positive
working fine,positive
best experience,positive
ok nice,positive
worthy,positive
nice product happy quick service provided voltas thanks flipkart time delivery,positive
good,positive
good quality product leaves clean surface without residue satisfied,positive
good product,positive
bought reading reviews trust people left good reviews got right probably best market present sturdy firm,positive
value money,positive
good build quality product build quelity best brand like parts soldiring iron give instant melt solder good tester plucker overall best experiance,positive
writing review useheated approx ltr water around minutes easy use carry light weightthe packaging came pretty good first image see rod wire turned bit white immersed water totally depends hardness quality water areatotally value money product,positive
amazing book go,positive
good,positive
good quality,positive
nice,positive
vera level best buying smart tv,positive
nice products,positive
love,positive
good one,positive
good,positive
cool,positive
amazing,positive
good product,positive
good,positive
excellent,positive
good,positive
really soft n comfy,positive
good quality,positive
perfect,positive
good reasonable price also good service fast installation,positive
nothing extraordinary nice product fulfil basic super fast boots good coding design softwares works lag free good go bugget,positive
good taste recommend,positive
good,positive
good,positive
good,positive
good,positive
best product best quality,positive
nice product good service,positive
good product,positive
double minded whether buy ipad pro literally saved much money getting good purchase,positive
best quality,positive
superb water purifier ever seen wonder full job assigned best water purifier segment awesome flip kart delivery service,positive
good product,positive
nyc productvalue money,positive
awesome product,positive
best product reasonable price,positive
vry nice batbutdelivery late,positive
super,positive
best turn ur old tv smart tv supports hdmi,positive
nice,positive
nice,positive
good,positive
price range laptop compete,positive
best book anatomyalso quality awesome,positive
good quality product economical range definitely go u r beginner racket length ring radius perfect play,positive
like product sevice late quality good gave stars awesome,positive
owesome ill buy,positive
awsome products waiting buy since one year tnq flipkart big billion day thank,positive
liners amazing,positive
great experience,positive
nice,positive
value money,positive
soft warm,positive
good product,positive
good product like,positive
good usefully,positive
excellent product,positive
good dinner set made ceramic quality good looks also decent simple classy rs fully worth wish bowls little bit bigger size thats issue totally worth,positive
good product,positive
cost good product,positive
definitely go kajal smooth long lasting best part smudge free like time u want remove wear daily office awesome one,positive
good,positive
nice product,positive
nice product,positive
nice trousers,positive
good quality product like thnku flipkart,positive
nice,positive
excellent product qaulaity also good think best mixture range dont think much go,positive
good nice product,positive
good inverter working absolutely fine fast electricity battery changeover super smooth operation audio visual indication,positive
good,positive
good keep one place dont move material lightweight somehow carry good weight im keeping heavy books last monthsedit broke months,positive
quality cover upto mark content book really good foundation difficult level questions latest pattern great work,positive
good product like much happy,positive
otg working dont buy waste money,positive
nice product crompton value money flipkartquick delivery took daysprosexact dimensions shown product detailsbig water air throw sufficient sqft roomwater pump swing run independently controls knobwater pump fixed bottom doesnt bash around movinginternal parts like fan water pipes well fittedside trays lets extra water back water tankhoneycomb gives better cool,positive
value money,positive
performance good thank flipkart,positive
awesome,positive
excellent motor fast jar good nice,positive
bole size small otherwise goodvery good,positive
nice useful,positive
good,positive
super good performance,positive
nice,positive
good product,positive
easy use disburse good frequency,positive
genuine product,positive
good,positive
good product next day installation,positive
nice,positive
super,positive
best iron used till portable,positive
ya good,positive
super,positive
super n soft fabric thank flipkart giving amejing products thanks u,positive
good product,positive
good occupies less spacecleaning also good utensils place properly milk bowls heavy cooked vessels scrapped little bit,positive
smooth like butterhigh quality,positive
good product,positive
good buy sent feedback separately flipkart thing samsung fridge space utilisation could better doesnt seem like claiming rest far good per first impression installatio day samsung person,positive
fabric quality good,positive
nice product,positive
best prize,positive
fine,positive
nice product n easy use strongly recommended overall satisfied,positive
good product,positive
nice product,positive
good product thanks flipkart nivia,positive
nice,positive
good,positive
good,positive
awesome product best headset ever bass soo good product range fantastic battery backup excellent u expect product,positive
nice product,positive
excellent easy work lot learn new method using machine like threading stitching come help user manual singer youtube video,positive
good lucky plant risevad helty plant,positive
good,positive
good products,positive
good quality product thank flipkart,positive
product cool mid range gaming multi taskingsimulations modelling phd students engineersscientists,positive
good expected,positive
excellent charger heating issue thanks flipkart fast delivery,positive
awesome,positive
nice material,positive
good,positive
nice product best shoes,positive
good,positive
connectivity mobile good compatible laptop specified specifications compatible laptop dear carefull purchase,positive
satisfactory,positive
nice,positive
good quality,positive
good,positive
good,positive
nice,positive
band best value money price quality good gives stability need lift weight,positive
thank much,positive
nice product worth money,positive
good,positive
good,positive
best price best product,positive
jst wow,positive
awesome nice one,positive
super,positive
thanks,positive
good,positive
good range fassured,positive
good,positive
good,positive
good,positive
like,positive
upgraded old chromecast could see instant speed improvement less buffering streaming apps like hotstar also supports new videos streaming platforms,positive
awesome quality,positive
good,positive
gifted parents dinner set absolutely loved quality overall look nice also heavy worth buying,positive
best product,positive
good product superb nice,positive
awesome productmust buy,positive
shoe quality awesome im happy product,positive
thank much everything fine happy give stars ok enjoy friend,positive
awesome product good seller,positive
nice happy nice product,positive
nice product,positive
best studypalying gamesread newspaperperfect value money,positive
verry good worthable nice sound quality,positive
velue money thank flipkart,positive
perfect,positive
good product,positive
nice children loved,positive
nice,positive
nice,positive
loved,positive
month working smoothly,positive
veri nice,positive
good delivery,positive
nice product value money go,positive
model ok practical purposesgood cleaning drying,positive
nice,positive
price bit high recommend pixel,positive
nice,positive
nice blanket,positive
beautiful dress,positive
price phone best ever made,positive
little transperant meet expectation stitching lacks perfection,positive
good product,positive
best performance watches loved,positive
nice,positive
better,positive
good,positive
good backup,positive
good one,positive
good thanks,positive
best,positive
good product,positive
love tq flipkart,positive
super,positive
nice,positive
nice soft feeling comfortable wearing,positive
gud provided pipe water heater provide company right charged company kept packages nice purchased happy purchased gud one bajaj water geyser,positive
got good inverter competitive ratw,positive
super product,positive
nice book,positive
good,positive
works read lot negative router good works enough one floor plus get speeds similar jio fiber router dont know people need many led blinking router mean jio functionality one led router im profit side still,positive
price range verry good product,positive
good glass dinner set,positive
